排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
246,沈阳农业大学,辽宁,27.6,44.1,93.11%,3082,1895,0.699,11,0,22555,130,0.22%
246,浙江海洋大学,浙江,27.6,40.4,96.59%,825,1208,0.828,14,1,38019,100,0.28%
250,东莞理工学院,广东,27.5,37.2,93.45%,1480,804,1.004,21,0,83504,0,0.00%
250,湖北师范大学,湖北,27.5,38.4,93.73%,1243,634,1.002,14,0,4327,420,0.00%
250,昆明理工大学,云南,27.5,36.6,96.62%,560,7309,0.715,72,2,55968,1430,0.74%
250,西南民族大学,四川,27.5,41.3,92.46%,1235,896,0.871,13,0,792,0,0.02%
254,上海第二工业大学,上海,27.4,38.0,97.40%,0,363,0.933,4,1,12428,0,0.45%
254,上海应用技术大学,上海,27.4,37.9,99.04%,3486,1927,0.814,21,0,87793,378,0.59%
256,绍兴文理学院,浙江,27.3,33.8,93.10%,1037,1292,1.142,42,0,6699,0,0.18%
257,东北电力大学,吉林,27.2,49.0,84.92%,147,1400,0.494,4,0,59673,20645,0.32%
257,桂林电子科技大学,广西,27.2,37.6,93.58%,0,2348,0.873,45,1,13413,2801,0.68%
257,浙江传媒学院,浙江,27.2,45.0,96.16%,6808,124,0.620,0,0,595,0,0.27%
260,河北经贸大学,河北,27.1,51.7,90.48%,0,151,0.381,0,0,520,0,0.43%
260,河南农业大学,河南,27.1,39.9,91.54%,0,2148,0.824,15,1,43819,450,0.02%
262,东北石油大学,黑龙江,27.0,45.9,89.86%,205,1984,0.542,22,1,57789,230,0.04%
262,石河子大学,新疆,27.0,40.7,90.01%,2469,2761,0.761,22,0,8348,1800,1.03%
264,兰州理工大学,甘肃,26.9,38.4,97.20%,1804,3764,0.677,48,0,74463,210,0.70%
265,广西财经学院,广西,26.8,40.1,96.07%,0,115,0.780,0,0,0,0,0.75%
265,西安工业大学,陕西,26.8,41.8,93.02%,0,1261,0.650,8,0,55670,18605,0.00%
265,浙江科技学院,浙江,26.8,39.2,96.83%,259,952,0.644,6,0,37080,190,5.34%
